,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-0.29999999999999993,-0.75,0,0,0,0,2,2
0,-0.25,-0.75,0,0,0,0,2,2
0,-0.19999999999999996,-0.75,0,0,0,0,2,2
0,-0.1499999999999999,-0.75,0,0,0,0,2,2
0,-0.09999999999999998,-0.75,0,0,0,0,2,2
0,-0.04999999999999993,-0.75,0,0,0,0,2,2
0,0.0,-0.75,0,0,0,0,2,2
0,0.050000000000000044,-0.75,0,0,0,0,2,2
0,0.10000000000000009,-0.75,0,0,0,0,2,2
0,0.15000000000000013,-0.75,0,0,0,0,2,2
0,0.20000000000000018,-0.75,0,0,0,0,2,2
0,0.25,-0.75,0,0,0,0,2,2
0,0.30000000000000004,-0.75,0,0,0,0,2,2
0,0.3500000000000001,-0.75,0,0,0,0,2,2
0,0.40000000000000013,-0.75,1,0,0,0,1,1
0,0.4500000000000002,-0.75,1,0,0,0,1,1
0,0.5,-0.75,1,0,0,0,1,1
0,0.55,-0.75,1,0,0,0,1,1
0,0.6000000000000001,-0.75,1,0,0,0,1,1
0,0.6500000000000001,-0.75,1,0,0,0,1,1
0,0.7000000000000002,-0.75,1,0,0,0,1,1
0,0.75,-0.75,1,0,0,0,1,1
0,0.8,-0.75,1,0,0,0,1,1
0,0.8500000000000001,-0.75,1,0,0,0,1,1
0,0.9000000000000001,-0.75,1,0,0,0,1,1
0,0.9500000000000002,-0.75,1,0,0,0,1,1
0,1.0,-0.75,1,0,0,0,1,1
0,-1.0,-0.7,1,0,0,0,1,1
0,-0.95,-0.7,1,0,0,0,1,1
0,-0.9,-0.7,1,0,0,0,1,1
0,-0.85,-0.7,1,0,0,0,1,1
0,-0.8,-0.7,1,0,0,0,1,1
0,-0.75,-0.7,1,0,0,0,1,1
0,-0.7,-0.7,1,0,0,0,1,1
0,-0.6499999999999999,-0.7,1,0,0,0,1,1
0,-0.6,-0.7,1,0,0,0,1,1
0,-0.55,-0.7,1,0,0,0,1,1
0,-0.5,-0.7,1,1,1,0,1,1
0,-0.44999999999999996,-0.7,1,1,1,0,1,1
0,-0.3999999999999999,-0.7,0,0,0,0,2,2
0,-0.35,-0.7,0,0,0,0,2,2
0,-0.29999999999999993,-0.7,0,0,0,0,2,2
0,-0.25,-0.7,0,0,0,0,2,2
0,-0.19999999999999996,-0.7,0,0,0,0,2,2
0,-0.1499999999999999,-0.7,0,0,0,0,2,2
0,-0.09999999999999998,-0.7,0,0,0,0,2,2
0,-0.04999999999999993,-0.7,0,0,0,0,2,2
0,0.0,-0.7,0,0,0,0,2,2
0,0.050000000000000044,-0.7,0,0,0,0,2,2
0,0.10000000000000009,-0.7,0,0,0,0,2,2
0,0.15000000000000013,-0.7,0,0,0,0,2,2
0,0.20000000000000018,-0.7,0,0,0,0,2,2
0,0.25,-0.7,0,0,0,0,2,2
0,0.30000000000000004,-0.7,0,0,0,0,2,2
0,0.3500000000000001,-0.7,0,0,0,0,2,2
0,0.40000000000000013,-0.7,1,0,0,0,1,1
0,0.4500000000000002,-0.7,1,0,0,0,1,1
0,0.5,-0.7,1,0,0,0,1,1
0,0.55,-0.7,1,0,0,0,1,1
0,0.6000000000000001,-0.7,1,0,0,0,1,1
0,0.6500000000000001,-0.7,1,0,0,0,1,1
0,0.7000000000000002,-0.7,1,0,0,0,1,1
0,0.75,-0.7,1,0,0,0,1,1
0,0.8,-0.7,1,0,0,0,1,1
0,0.8500000000000001,-0.7,1,0,0,0,1,1
0,0.9000000000000001,-0.7,1,0,0,0,1,1
0,0.9500000000000002,-0.7,1,0,0,0,1,1
0,1.0,-0.7,1,0,0,0,1,1
0,-1.0,-0.6499999999999999,1,0,0,0,1,1
0,-0.95,-0.6499999999999999,1,0,0,0,1,1
0,-0.9,-0.6499999999999999,1,0,0,0,1,1
0,-0.85,-0.6499999999999999,1,0,0,0,1,1
0,-0.8,-0.6499999999999999,1,0,0,0,1,1
0,-0.75,-0.6499999999999999,1,0,0,0,1,1
0,-0.7,-0.6499999999999999,1,0,0,0,1,1
0,-0.6499999999999999,-0.6499999999999999,1,0,0,0,1,1
0,-0.6,-0.6499999999999999,1,0,0,0,1,1
0,-0.55,-0.6499999999999999,1,0,0,0,1,1
0,-0.5,-0.6499999999999999,1,0,0,0,1,1
0,-0.44999999999999996,-0.6499999999999999,1,1,1,0,1,1
0,-0.3999999999999999,-0.6499999999999999,1,1,1,0,1,1
0,-0.35,-0.6499999999999999,1,1,1,0,2,2
0,-0.29999999999999993,-0.6499999999999999,0,0,0,0,2,2
0,-0.25,-0.6499999999999999,0,0,0,0,2,2
0,-0.19999999999999996,-0.6499999999999999,0,0,0,0,2,2
0,-0.1499999999999999,-0.6499999999999999,0,0,0,0,2,2
0,-0.09999999999999998,-0.6499999999999999,0,0,0,0,2,2
0,-0.04999999999999993,-0.6499999999999999,0,0,0,0,2,2
0,0.0,-0.6499999999999999,0,0,0,0,2,2
0,0.050000000000000044,-0.6499999999999999,0,0,0,0,2,2
0,0.10000000000000009,-0.6499999999999999,0,0,0,0,2,2
0,0.15000000000000013,-0.6499999999999999,0,0,0,0,2,2
0,0.20000000000000018,-0.6499999999999999,0,0,0,0,2,2
0,0.25,-0.6499999999999999,0,0,0,0,2,2
0,0.30000000000000004,-0.6499999999999999,0,0,0,0,2,2
0,0.3500000000000001,-0.6499999999999999,0,0,0,0,2,2
0,0.40000000000000013,-0.6499999999999999,1,0,0,0,1,1
0,0.4500000000000002,-0.6499999999999999,1,0,0,0,1,1
0,0.5,-0.6499999999999999,1,0,0,0,1,1
0,0.55,-0.6499999999999999,1,0,0,0,1,1
0,0.6000000000000001,-0.6499999999999999,1,0,0,0,1,1
0,0.6500000000000001,-0.6499999999999999,1,0,0,0,1,1
0,0.7000000000000002,-0.6499999999999999,1,0,0,0,1,1
0,0.75,-0.6499999999999999,1,0,0,0,1,1
0,0.8,-0.6499999999999999,1,0,0,0,1,1
0,0.8500000000000001,-0.6499999999999999,1,0,0,0,1,1
0,0.9000000000000001,-0.6499999999999999,1,0,0,0,1,1
0,0.9500000000000002,-0.6499999999999999,1,0,0,0,1,1
0,1.0,-0.6499999999999999,1,0,0,0,1,1
0,-1.0,-0.6,1,0,0,0,1,1
0,-0.95,-0.6,1,0,0,0,1,1
0,-0.9,-0.6,1,0,0,0,1,1
0,-0.85,-0.6,1,0,0,0,1,1
0,-0.8,-0.6,1,0,0,0,1,1
0,-0.75,-0.6,1,0,0,0,1,1
0,-0.7,-0.6,1,0,0,0,1,1
0,-0.6499999999999999,-0.6,1,0,0,0,1,1
0,-0.6,-0.6,1,0,0,0,1,1
0,-0.55,-0.6,1,0,0,0,1,1
0,-0.5,-0.6,1,0,0,0,1,1
0,-0.44999999999999996,-0.6,1,0,0,0,1,1
0,-0.3999999999999999,-0.6,1,1,1,0,1,1
0,-0.35,-0.6,1,1,1,0,1,1
0,-0.29999999999999993,-0.6,1,1,1,0,2,2
0,-0.25,-0.6,0,0,0,0,2,2
0,-0.19999999999999996,-0.6,0,0,0,0,2,2
0,-0.1499999999999999,-0.6,0,0,0,0,2,2
0,-0.09999999999999998,-0.6,0,0,0,0,2,2
0,-0.04999999999999993,-0.6,0,0,0,0,2,2
0,0.0,-0.6,0,0,0,0,2,2
0,0.050000000000000044,-0.6,0,0,0,0,2,2
0,0.10000000000000009,-0.6,0,0,0,0,2,2
0,0.15000000000000013,-0.6,0,0,0,0,2,2
0,0.20000000000000018,-0.6,0,0,0,0,2,2
0,0.25,-0.6,0,0,0,0,2,2
0,0.30000000000000004,-0.6,0,0,0,0,2,2
0,0.3500000000000001,-0.6,0,0,0,0,2,2
0,0.40000000000000013,-0.6,1,0,0,0,1,1
0,0.4500000000000002,-0.6,1,0,0,0,1,1
0,0.5,-0.6,1,0,0,0,1,1
0,0.55,-0.6,1,0,0,0,1,1
0,0.6000000000000001,-0.6,1,0,0,0,1,1
0,0.6500000000000001,-0.6,1,0,0,0,1,1
0,0.7000000000000002,-0.6,1,0,0,0,1,1
0,0.75,-0.6,1,0,0,0,1,1
0,0.8,-0.6,1,0,0,0,1,1
0,0.8500000000000001,-0.6,1,0,0,0,1,1
0,0.9000000000000001,-0.6,1,0,0,0,1,1
0,0.9500000000000002,-0.6,1,0,0,0,1,1
0,1.0,-0.6,1,0,0,0,1,1
0,-1.0,-0.55,1,0,0,0,1,1
0,-0.95,-0.55,1,0,0,0,1,1
0,-0.9,-0.55,1,0,0,0,1,1
0,-0.85,-0.55,1,0,0,0,1,1
0,-0.8,-0.55,1,0,0,0,1,1
0,-0.75,-0.55,1,0,0,0,1,1
0,-0.7,-0.55,1,0,0,0,1,1
0,-0.6499999999999999,-0.55,1,0,0,0,1,1
0,-0.6,-0.55,1,0,0,0,1,1
0,-0.55,-0.55,1,0,0,0,1,1
0,-0.5,-0.55,1,0,0,0,1,1
0,-0.44999999999999996,-0.55,1,0,0,0,1,1
0,-0.3999999999999999,-0.55,1,0,0,0,1,1
0,-0.35,-0.55,1,1,0,0,1,1
0,-0.29999999999999993,-0.55,1,1,1,0,1,1
0,-0.25,-0.55,1,1,1,0,1,1
0,-0.19999999999999996,-0.55,1,1,1,0,2,2
0,-0.1499999999999999,-0.55,0,0,0,0,2,2
0,-0.09999999999999998,-0.55,0,0,0,0,2,2
0,-0.04999999999999993,-0.55,0,0,0,0,2,2
0,0.0,-0.55,0,0,0,0,2,2
0,0.050000000000000044,-0.55,0,0,0,0,2,2
0,0.10000000000000009,-0.55,0,0,0,0,2,2
0,0.15000000000000013,-0.55,0,0,0,0,2,2
0,0.20000000000000018,-0.55,0,0,0,0,2,2
0,0.25,-0.55,0,0,0,0,2,2
0,0.30000000000000004,-0.55,0,0,0,0,2,2
0,0.3500000000000001,-0.55,0,0,0,0,2,2
0,0.40000000000000013,-0.55,1,0,0,0,1,1
0,0.4500000000000002,-0.55,1,0,0,0,1,1
0,0.5,-0.55,1,0,0,0,1,1
0,0.55,-0.55,1,0,0,0,1,1
0,0.6000000000000001,-0.55,1,0,0,0,1,1
0,0.6500000000000001,-0.55,1,0,0,0,1,1
0,0.7000000000000002,-0.55,1,0,0,0,1,1
0,0.75,-0.55,1,0,0,0,1,1
0,0.8,-0.55,1,0,0,0,1,1
0,0.8500000000000001,-0.55,1,0,0,0,1,1
0,0.9000000000000001,-0.55,1,0,0,0,1,1
0,0.9500000000000002,-0.55,1,0,0,0,1,1
0,1.0,-0.55,1,0,0,0,1,1
0,-1.0,-0.5,1,0,0,0,1,1
0,-0.95,-0.5,1,0,0,0,1,1
0,-0.9,-0.5,1,0,0,0,1,1
0,-0.85,-0.5,1,0,0,0,1,1
0,-0.8,-0.5,1,0,0,0,1,1
0,-0.75,-0.5,1,0,0,0,1,1
0,-0.7,-0.5,1,0,0,0,1,1
0,-0.6499999999999999,-0.5,1,0,0,0,1,1
0,-0.6,-0.5,1,0,0,0,1,1
0,-0.55,-0.5,1,0,0,0,1,1
0,-0.5,-0.5,1,0,0,0,1,1
0,-0.44999999999999996,-0.5,1,0,0,0,1,1
0,-0.3999999999999999,-0.5,1,0,0,0,1,1
0,-0.35,-0.5,1,0,0,0,1,1
0,-0.29999999999999993,-0.5,1,1,0,0,1,1
0,-0.25,-0.5,1,1,1,0,1,1
0,-0.19999999999999996,-0.5,1,1,1,0,1,1
0,-0.1499999999999999,-0.5,1,1,1,0,2,2
0,-0.09999999999999998,-0.5,0,0,0,0,2,2
0,-0.04999999999999993,-0.5,0,0,0,0,2,2
0,0.0,-0.5,0,0,0,0,2,2
0,0.050000000000000044,-0.5,0,0,0,0,2,2
0,0.10000000000000009,-0.5,0,0,0,0,2,2
0,0.15000000000000013,-0.5,0,0,0,0,2,2
0,0.20000000000000018,-0.5,0,0,0,0,2,2
0,0.25,-0.5,0,0,0,0,2,2
0,0.30000000000000004,-0.5,0,0,0,0,2,2
0,0.3500000000000001,-0.5,0,0,0,0,2,2
0,0.40000000000000013,-0.5,1,0,0,0,1,1
0,0.4500000000000002,-0.5,1,0,0,0,1,1
0,0.5,-0.5,1,0,0,0,1,1
0,0.55,-0.5,1,0,0,0,1,1
0,0.6000000000000001,-0.5,1,0,0,0,1,1
0,0.6500000000000001,-0.5,1,0,0,0,1,1
0,0.7000000000000002,-0.5,1,0,0,0,1,1
0,0.75,-0.5,1,0,0,0,1,1
0,0.8,-0.5,1,0,0,0,1,1
0,0.8500000000000001,-0.5,1,0,0,0,1,1
0,0.9000000000000001,-0.5,1,0,0,0,1,1
0,0.9500000000000002,-0.5,1,0,0,0,1,1
0,1.0,-0.5,1,0,0,0,1,1
0,-1.0,-0.44999999999999996,1,0,0,0,1,1
0,-0.95,-0.44999999999999996,1,0,0,0,1,1
0,-0.9,-0.44999999999999996,1,0,0,0,1,1
0,-0.85,-0.44999999999999996,1,0,0,0,1,1
0,-0.8,-0.44999999999999996,1,0,0,0,1,1
0,-0.75,-0.44999999999999996,1,0,0,0,1,1
0,-0.7,-0.44999999999999996,1,0,0,0,1,1
0,-0.6499999999999999,-0.44999999999999996,1,0,0,0,1,1
0,-0.6,-0.44999999999999996,1,0,0,0,1,1
0,-0.55,-0.44999999999999996,1,0,0,0,1,1
0,-0.5,-0.44999999999999996,1,0,0,0,1,1
0,-0.44999999999999996,-0.44999999999999996,1,0,0,0,1,1
0,-0.3999999999999999,-0.44999999999999996,1,0,0,0,1,1
0,-0.35,-0.44999999999999996,1,0,0,0,1,1
0,-0.29999999999999993,-0.44999999999999996,1,0,0,0,1,1
0,-0.25,-0.44999999999999996,1,0,0,0,1,1
0,-0.19999999999999996,-0.44999999999999996,1,1,1,0,1,1
0,-0.1499999999999999,-0.44999999999999996,1,1,1,0,1,1
0,-0.09999999999999998,-0.44999999999999996,1,1,1,0,2,2
0,-0.04999999999999993,-0.44999999999999996,1,1,1,0,2,2
0,0.0,-0.44999999999999996,0,0,0,0,2,2
0,0.050000000000000044,-0.44999999999999996,0,0,0,0,2,2
0,0.10000000000000009,-0.44999999999999996,0,0,0,0,2,2
0,0.15000000000000013,-0.44999999999999996,0,0,0,0,2,2
0,0.20000000000000018,-0.44999999999999996,0,0,0,0,2,2
0,0.25,-0.44999999999999996,0,0,0,0,2,2
0,0.30000000000000004,-0.44999999999999996,0,0,0,0,2,2
0,0.3500000000000001,-0.44999999999999996,0,0,0,0,2,2
0,0.40000000000000013,-0.44999999999999996,1,0,0,0,1,1
0,0.4500000000000002,-0.44999999999999996,1,0,0,0,1,1
0,0.5,-0.44999999999999996,1,0,0,0,1,1
0,0.55,-0.44999999999999996,1,0,0,0,1,1
0,0.6000000000000001,-0.44999999999999996,1,0,0,0,1,1
0,0.6500000000000001,-0.44999999999999996,1,0,0,0,1,1
0,0.7000000000000002,-0.44999999999999996,1,0,0,0,1,1
