,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.13,-1.0,112.3046875,0.025079986086956524,0.046154796521739136
0,-0.12,-1.0,112.3046875,0.02448250434782609,0.04675227826086957
0,-0.11,-1.0,111.083984375,0.0241618989010989,0.04785568351648352
0,-0.09999999999999998,-1.0,109.86328125,0.02383416888888889,0.04898360888888889
0,-0.08999999999999997,-1.0,108.642578125,0.02350275595505618,0.050133199101123606
0,-0.07999999999999996,-1.0,107.421875,0.023168465454545456,0.051304261818181825
0,-0.06999999999999995,-1.0,106.201171875,0.022807657931034484,0.05252107770114942
0,-0.059999999999999935,-1.0,104.98046875,0.022409882790697676,0.05379476837209303
0,-0.04999999999999993,-1.0,103.759765625,0.02201527717647059,0.05508589929411765
0,-0.040000000000000036,-1.0,101.318359375,0.021872640000000006,0.05708639614457832
0,-0.030000000000000027,-1.0,100.09765625,0.021435067317073172,0.05848688390243903
0,-0.020000000000000014,-1.0,98.876953125,0.020990735802469136,0.05991790617283951
0,-0.010000000000000007,-1.0,96.435546875,0.020766201518987344,0.06219076050632912
0,0.0,-1.0,95.21484375,0.02026679794871795,0.06375371487179488
0,0.010000000000000007,-1.0,92.7734375,0.019991713684210526,0.0662398652631579
0,0.020000000000000014,-1.0,90.33203125,0.019694010810810812,0.06886815135135135
0,0.030000000000000027,-1.0,87.890625,0.019330844444444446,0.07169137777777779
0,0.040000000000000036,-1.0,85.44921875,0.018927030857142858,0.07469582628571429
0,0.05000000000000005,-1.0,81.787109375,0.01874133970149254,0.0790735856716418
0,0.06000000000000005,-1.0,78.125,0.018494720000000003,0.08390528000000001
0,0.07000000000000006,-1.0,74.462890625,0.018139236721311475,0.08929682885245903
0,0.08000000000000007,-1.0,70.80078125,0.017683420689655175,0.0953096827586207
0,0.09000000000000008,-1.0,65.91796875,0.017373108148148148,0.10398985481481482
0,0.10000000000000007,-1.0,59.814453125,0.017111248979591837,0.11663568979591839
0,0.1100000000000001,-1.0,53.7109375,0.016464058181818186,0.13248139636363637
0,0.1200000000000001,-1.0,43.9453125,0.016029013333333335,0.16601543111111114
0,0.13000000000000012,-1.0,25.634765625,0.01602121142857143,0.29605497904761907
0,-0.54,-0.99,107.421875,0.054208698181818185,0.020264029090909092
0,-0.53,-0.99,108.642578125,0.05262577617977528,0.021010178876404495
0,-0.52,-0.99,109.86328125,0.05113173333333334,0.021686044444444448
0,-0.51,-0.99,111.083984375,0.04969753318681319,0.02232004923076923
0,-0.5,-0.99,112.3046875,0.04832033391304348,0.022914448695652175
0,-0.49,-0.99,113.525390625,0.04702031827956989,0.023448498924731182
0,-0.48,-0.99,113.525390625,0.04625308903225807,0.024215728172043014
0,-0.47,-0.99,114.74609375,0.04500632510638298,0.024712823829787237
0,-0.46,-0.99,115.966796875,0.04381340294736842,0.02517186021052632
0,-0.45,-0.99,115.966796875,0.04312872421052632,0.02585653894736842
0,-0.44,-0.99,117.1875,0.04201984,0.02624682666666667
0,-0.43,-0.99,117.1875,0.04137728000000001,0.026889386666666668
0,-0.42,-0.99,118.408203125,0.04028943835051547,0.027273448247422682
0,-0.41,-0.99,118.408203125,0.039651813608247426,0.027911072989690724
0,-0.4,-0.99,118.408203125,0.039014188865979384,0.02854869773195877
0,-0.39,-0.99,119.62890625,0.03803094204081633,0.02884252734693878
0,-0.38,-0.99,119.62890625,0.037420721632653066,0.02945274775510204
0,-0.37,-0.99,119.62890625,0.03682638367346939,0.030047085714285715
0,-0.36,-0.99,119.62890625,0.03623956897959184,0.03063390040816327
0,-0.35,-0.99,119.62890625,0.03567281632653062,0.03120065306122449
0,-0.34,-0.99,120.849609375,0.03472249535353536,0.031475484444444445
0,-0.33,-0.99,120.849609375,0.034171397171717174,0.03202658262626263
0,-0.31999999999999995,-0.99,120.849609375,0.03362278141414141,0.03257519838383839
0,-0.30999999999999994,-0.99,120.849609375,0.03307002828282828,0.033127951515151514
0,-0.29999999999999993,-0.99,120.849609375,0.032504035555555554,0.033693944242424244
0,-0.29000000000000004,-0.99,120.849609375,0.03194714505050505,0.03425083474747475
0,-0.28,-0.99,119.62890625,0.031750687346938776,0.03512278204081633
0,-0.27,-0.99,119.62890625,0.031197309387755105,0.035676160000000005
0,-0.26,-0.99,119.62890625,0.030636408163265304,0.0362370612244898
0,-0.25,-0.99,119.62890625,0.03010309224489796,0.03677037714285714
0,-0.24,-0.99,119.62890625,0.029561417142857142,0.03731205224489796
0,-0.23,-0.99,118.408203125,0.029328204536082474,0.03823468206185567
0,-0.22,-0.99,118.408203125,0.028780100618556702,0.038782785979381444
0,-0.21,-0.99,118.408203125,0.028239597525773198,0.03932328907216495
0,-0.2,-0.99,117.1875,0.02798506666666667,0.0402816
0,-0.18999999999999995,-0.99,117.1875,0.027424426666666665,0.04084224
0,-0.17999999999999994,-0.99,115.966796875,0.027168121263157898,0.04181714189473684
0,-0.16999999999999993,-0.99,115.966796875,0.02661365221052632,0.042371610947368424
0,-0.16000000000000006,-0.99,114.74609375,0.02632769361702128,0.04339145531914894
