,I_e,I_i,avg_speed
0,-0.12,-0.74,0.01989885532455044
0,-0.09999999999999998,-0.74,0.019887911499689975
0,-0.36,-0.72,0.000979858364625086
0,-0.34,-0.72,0.0010565031467185168
0,-0.31999999999999995,-0.72,0.0012212419482030945
0,-0.29999999999999993,-0.72,0.0013211139940284174
0,-0.28,-0.72,0.0015599885287619778
0,-0.26,-0.72,0.0018879319834088967
0,-0.24,-0.72,0.002504211177209076
0,-0.22,-0.72,0.003649121623326753
0,-0.2,-0.72,0.005729404763789936
0,-0.17999999999999994,-0.72,0.010203017847736471
0,-0.16000000000000006,-0.72,0.019708021546066316
0,-0.14,-0.72,0.019785449000365697
0,-0.12,-0.72,0.01982610037967616
0,-0.09999999999999998,-0.72,0.019814011075593926
0,-0.07999999999999996,-0.72,0.01976130402886061
0,-0.34,-0.7,0.0009505806217327378
0,-0.31999999999999995,-0.7,0.0010466088611909912
0,-0.29999999999999993,-0.7,0.001134522924546871
0,-0.28,-0.7,0.001303274744198947
0,-0.26,-0.7,0.0014978557516308274
0,-0.24,-0.7,0.0018428258292233512
0,-0.22,-0.7,0.00234147152531423
0,-0.2,-0.7,0.003377700829916921
0,-0.17999999999999994,-0.7,0.005388191504828442
0,-0.16000000000000006,-0.7,0.009390703058823646
0,-0.14,-0.7,0.018486973025495318
0,-0.12,-0.7,0.019750137267852304
0,-0.09999999999999998,-0.7,0.019755821588895172
0,-0.07999999999999996,-0.7,0.01971960553429596
0,-0.059999999999999935,-0.7,0.01962183492211899
0,-0.34,-0.6799999999999999,0.0008672164366053379
0,-0.31999999999999995,-0.6799999999999999,0.000945181809443884
0,-0.29999999999999993,-0.6799999999999999,0.0009794889436101168
0,-0.28,-0.6799999999999999,0.001166527578766603
0,-0.26,-0.6799999999999999,0.0012601995189827045
0,-0.24,-0.6799999999999999,0.001465790114411078
0,-0.22,-0.6799999999999999,0.001809941287964831
0,-0.2,-0.6799999999999999,0.0022712131309573155
0,-0.17999999999999994,-0.6799999999999999,0.003240717213117198
0,-0.16000000000000006,-0.6799999999999999,0.0049444537195853094
0,-0.14,-0.6799999999999999,0.008527121565242896
0,-0.12,-0.6799999999999999,0.01642072217701182
0,-0.09999999999999998,-0.6799999999999999,0.019687387192219234
0,-0.07999999999999996,-0.6799999999999999,0.01965585392341604
0,-0.059999999999999935,-0.6799999999999999,0.01956863705210908
0,-0.040000000000000036,-0.6799999999999999,0.01944076397884885
0,-0.020000000000000014,-0.6799999999999999,0.019289598015884403
0,-0.31999999999999995,-0.6599999999999999,0.0008542359719927183
0,-0.29999999999999993,-0.6599999999999999,0.0009464148618979423
0,-0.28,-0.6599999999999999,0.0010043675411351215
0,-0.26,-0.6599999999999999,0.0010549208786321607
0,-0.24,-0.6599999999999999,0.0011844732467861437
0,-0.22,-0.6599999999999999,0.0014490897811572276
0,-0.2,-0.6599999999999999,0.0016753073475963068
