,I_e,I_i,bumps,down_space,up_space
0,-0.14,-0.99,5.0,0.0859375,0.1140625
0,-0.13,-0.99,5.0,0.0859375,0.1140625
0,-0.12,-0.99,5.0,0.084375,0.11562499999999999
0,-0.11,-0.99,5.0,0.0828125,0.1171875
0,-0.09999999999999998,-0.99,5.0,0.0828125,0.1171875
0,-0.08999999999999997,-0.99,5.0,0.08125,0.11875
0,-0.07999999999999996,-0.99,5.0,0.078125,0.121875
0,-0.06999999999999995,-0.99,6.0,0.06770833333333334,0.09895833333333334
0,-0.059999999999999935,-0.99,5.0,0.078125,0.121875
0,-0.04999999999999993,-0.99,5.0,0.075,0.125
0,-0.040000000000000036,-0.99,5.0,0.075,0.125
0,-0.030000000000000027,-0.99,6.0,0.06510416666666666,0.1015625
0,-0.020000000000000014,-0.99,5.0,0.071875,0.12812500000000002
0,-0.010000000000000007,-0.99,5.0,0.071875,0.12812500000000002
0,0.0,-0.99,6.0,0.0625,0.10416666666666667
0,0.010000000000000007,-0.99,6.0,0.0625,0.10416666666666667
0,0.020000000000000014,-0.99,5.0,0.0671875,0.1328125
0,0.030000000000000027,-0.99,5.0,0.0671875,0.1328125
0,0.040000000000000036,-0.99,5.0,0.065625,0.134375
0,0.05000000000000005,-0.99,6.0,0.057291666666666664,0.10937500000000001
0,0.06000000000000005,-0.99,5.0,0.06406250000000001,0.1359375
0,0.07000000000000006,-0.99,5.0,0.0609375,0.1390625
0,0.08000000000000007,-0.99,6.0,0.05468750000000001,0.11197916666666667
0,0.09000000000000008,-0.99,5.0,0.0609375,0.1390625
0,0.10000000000000007,-0.99,5.0,0.059375,0.140625
0,0.1100000000000001,-0.99,5.0,0.057812499999999996,0.1421875
0,0.1200000000000001,-0.99,5.0,0.056249999999999994,0.14375
0,0.13000000000000012,-0.99,5.0,0.056249999999999994,0.14375
0,0.14000000000000012,-0.99,5.0,0.05468750000000001,0.1453125
0,0.15000000000000013,-0.99,5.0,0.05468750000000001,0.1453125
0,0.15999999999999992,-0.99,5.0,0.053125000000000006,0.146875
0,0.16999999999999993,-0.99,5.0,0.051562500000000004,0.1484375
0,0.17999999999999994,-0.99,5.0,0.051562500000000004,0.1484375
0,0.18999999999999995,-0.99,5.0,0.05,0.15
0,0.2,-0.99,5.0,0.0484375,0.15156250000000002
0,0.21,-0.99,5.0,0.046875,0.153125
0,0.22,-0.99,5.0,0.046875,0.153125
0,0.23,-0.99,5.0,0.043750000000000004,0.15625
0,0.24,-0.99,5.0,0.045312500000000006,0.1546875
0,0.25,-0.99,5.0,0.043750000000000004,0.15625
0,0.26,-0.99,5.0,0.040625,0.159375
0,0.27,-0.99,4.0,0.0390625,0.2109375
0,0.28,-0.99,0.0,,inf
0,-0.63,-0.98,5.0,0.15156250000000002,0.0484375
0,-0.62,-0.98,5.0,0.15,0.05
0,-0.61,-0.98,5.0,0.146875,0.053125000000000006
0,-0.6,-0.98,5.0,0.146875,0.053125000000000006
