,b,tau_a,dom_frequ,down_duration,up_duration
0,0.30000000000000004,300.0,3.6666666666666665,0.28961000000000003,0.2558445454545455
0,0.325,300.0,3.8333333333333335,0.28054347826086956,0.24119565217391306
0,0.35000000000000003,300.0,3.966666666666667,0.27515042016806723,0.2290512605042017
0,0.375,300.0,4.0,0.28142,0.21858000000000005
0,0.4,300.0,4.233333333333333,0.26388267716535435,0.20855826771653543
0,0.42500000000000004,300.0,4.366666666666666,0.25906717557251907,0.19894809160305346
0,0.45,300.0,4.466666666666667,0.2559358208955224,0.19182537313432838
0,0.47500000000000003,300.0,4.5,0.25956,0.18488444444444446
0,0.5,300.0,4.7,0.24852978723404254,0.1770021276595745
0,0.0,600.0,0.03333333333333333,60.0,0.0
0,0.025,600.0,0.7,1.3599380952380953,1.497204761904762
0,0.05,600.0,1.0,0.9627700000000001,1.03723
0,0.07500000000000001,600.0,1.2666666666666666,0.7738736842105264,0.8050736842105264
0,0.1,600.0,1.4666666666666666,0.674984090909091,0.6886522727272727
0,0.125,600.0,1.6333333333333333,0.6123367346938776,0.6121530612244899
0,0.15000000000000002,600.0,1.8,0.5644314814814815,0.5466796296296297
0,0.17500000000000002,600.0,1.9333333333333333,0.5314103448275863,0.5030724137931035
0,0.2,600.0,2.0666666666666664,0.5040177419354839,0.4637241935483871
0,0.225,600.0,2.2,0.4788454545454545,0.43024545454545454
0,0.25,600.0,2.3333333333333335,0.45671000000000006,0.4004328571428572
0,0.275,600.0,2.433333333333333,0.4435109589041097,0.3784068493150685
0,0.30000000000000004,600.0,2.5666666666666664,0.4247571428571429,0.3544636363636364
0,0.325,600.0,2.7333333333333334,0.39368902439024395,0.3380182926829268
0,0.35000000000000003,600.0,2.8333333333333335,0.3847752941176471,0.3211070588235294
0,0.375,600.0,2.9,0.3800827586206897,0.30957241379310346
0,0.4,600.0,2.933333333333333,0.38771136363636366,0.2941068181818182
0,0.42500000000000004,600.0,3.033333333333333,0.37862417582417585,0.2807164835164835
0,0.45,600.0,3.1,0.3737172043010753,0.2714440860215054
0,0.47500000000000003,600.0,3.2,0.36539270833333337,0.25960729166666663
0,0.5,600.0,3.2666666666666666,0.360745918367347,0.25149897959183676
0,0.0,900.0,0.03333333333333333,60.0,0.0
0,0.025,900.0,0.5666666666666667,1.685464705882353,1.8439470588235296
0,0.05,900.0,0.8333333333333334,1.149324,1.2506760000000001
0,0.07500000000000001,900.0,1.0333333333333332,0.9427354838709678,0.9927483870967744
0,0.1,900.0,1.2,0.8265027777777778,0.8401638888888889
0,0.125,900.0,1.3333333333333333,0.7489625000000001,0.7510375
0,0.15000000000000002,900.0,1.4666666666666666,0.6953431818181819,0.6682931818181819
0,0.17500000000000002,900.0,1.6,0.6409333333333334,0.6090666666666668
0,0.2,900.0,1.7,0.6115666666666667,0.5649039215686275
0,0.225,900.0,1.8,0.5845055555555556,0.5266055555555557
0,0.25,900.0,1.9,0.5598491228070176,0.4927824561403509
0,0.275,900.0,2.033333333333333,0.5151327868852459,0.4684737704918034
0,0.30000000000000004,900.0,2.1,0.5199460317460317,0.43243492063492067
0,0.325,900.0,2.1666666666666665,0.5081569230769231,0.41492
0,0.35000000000000003,900.0,2.2333333333333334,0.4987029850746269,0.3968194029850747
0,0.375,900.0,2.3333333333333335,0.4835371428571429,0.3736057142857143
0,0.4,900.0,2.4,0.47344583333333334,0.3598875
0,0.42500000000000004,900.0,2.466666666666667,0.46463108108108114,0.34617972972972977
0,0.45,900.0,2.533333333333333,0.4571539473684211,0.33231973684210525
0,0.47500000000000003,900.0,2.6,0.44921025641025647,0.32002051282051286
