,b,tau_a,dom_frequ,down_duration,up_duration
0,0.35000000000000003,300.0,3.933333333333333,0.28254661016949156,0.22592796610169497
0,0.375,300.0,4.066666666666666,0.27604098360655743,0.2157622950819672
0,0.4,300.0,4.133333333333333,0.2603580645161291,0.2235129032258065
0,0.42500000000000004,300.0,4.233333333333333,0.25736456692913384,0.21507637795275594
0,0.45,300.0,4.433333333333334,0.24004887218045115,0.21107894736842103
0,0.47500000000000003,300.0,4.533333333333333,0.2378125,0.2033639705882353
0,0.5,300.0,4.7,0.25070000000000003,0.17483191489361705
0,0.0,600.0,0.03333333333333333,60.0,0.0
0,0.025,600.0,0.7,1.362352380952381,1.4947904761904762
0,0.05,600.0,1.0,0.8943600000000002,1.1056400000000002
0,0.07500000000000001,600.0,1.2333333333333334,0.7366702702702703,0.8849513513513514
0,0.1,600.0,1.4333333333333333,0.6414000000000001,0.7539488372093024
0,0.125,600.0,1.6,0.5812833333333333,0.6687166666666667
0,0.15000000000000002,600.0,1.7666666666666666,0.5362490566037736,0.5958264150943396
0,0.17500000000000002,600.0,1.9333333333333333,0.49776724137931033,0.5367155172413794
0,0.2,600.0,2.0666666666666664,0.4714532258064517,0.49628870967741945
0,0.225,600.0,2.1666666666666665,0.45645076923076927,0.46662615384615386
0,0.25,600.0,2.3,0.43574782608695656,0.4338173913043478
0,0.275,600.0,2.433333333333333,0.41781369863013695,0.40410410958904114
0,0.30000000000000004,600.0,2.533333333333333,0.4065750000000001,0.38289868421052636
0,0.325,600.0,2.6333333333333333,0.3951696202531646,0.3643240506329114
0,0.35000000000000003,600.0,2.7333333333333334,0.3854512195121952,0.3462560975609756
0,0.375,600.0,2.8333333333333335,0.37634470588235297,0.32953764705882355
0,0.4,600.0,3.0,0.3774388888888889,0.2892277777777778
0,0.42500000000000004,600.0,3.0,0.3624955555555556,0.30417111111111117
0,0.45,600.0,3.1666666666666665,0.3645231578947369,0.26705578947368425
0,0.47500000000000003,600.0,3.2666666666666666,0.35694489795918366,0.2553
0,0.5,600.0,3.3,0.33061212121212125,0.27544848484848483
0,0.0,900.0,0.03333333333333333,60.0,0.0
0,0.025,900.0,0.6,1.586238888888889,1.7470944444444447
0,0.05,900.0,0.8333333333333334,1.164088,1.2359120000000003
0,0.07500000000000001,900.0,1.0,0.9056100000000001,1.0943900000000002
0,0.1,900.0,1.1666666666666667,0.7938514285714287,0.9204342857142859
0,0.125,900.0,1.3333333333333333,0.7003075,0.7996925000000001
0,0.15000000000000002,900.0,1.4333333333333333,0.6612697674418605,0.734079069767442
0,0.17500000000000002,900.0,1.5666666666666667,0.6133553191489363,0.663240425531915
0,0.2,900.0,1.6666666666666667,0.586446,0.6135539999999999
0,0.225,900.0,1.8,0.54895,0.5621611111111111
0,0.25,900.0,1.9,0.527959649122807,0.5246719298245616
0,0.275,900.0,1.9666666666666666,0.5173152542372882,0.4996338983050848
0,0.30000000000000004,900.0,2.0666666666666664,0.4976483870967743,0.47009354838709694
0,0.325,900.0,2.1666666666666665,0.4811153846153846,0.4419615384615385
0,0.35000000000000003,900.0,2.2333333333333334,0.4719179104477612,0.4236044776119403
0,0.375,900.0,2.3,0.462568115942029,0.40699710144927537
0,0.4,900.0,2.4,0.44961388888888887,0.38371944444444445
0,0.42500000000000004,900.0,2.5,0.45742133333333335,0.34257866666666675
0,0.45,900.0,2.6,0.44443589743589745,0.3247948717948718
0,0.47500000000000003,900.0,2.6666666666666665,0.43719875,0.31280125
0,0.5,900.0,2.7333333333333334,0.4295756097560976,0.30213170731707323
0,0.0,1200.0,0.03333333333333333,60.0,0.0
0,0.025,1200.0,0.5,1.8804533333333333,2.1195466666666665
0,0.05,1200.0,0.7333333333333333,1.312627272727273,1.4146454545454548
0,0.07500000000000001,1200.0,0.8666666666666667,1.0531846153846154,1.2545076923076925
0,0.1,1200.0,1.0333333333333332,0.8929806451612904,1.042503225806452
0,0.125,1200.0,1.1333333333333333,0.8218235294117647,0.9428823529411765
0,0.15000000000000002,1200.0,1.2666666666666666,0.7533552631578948,0.825592105263158
0,0.17500000000000002,1200.0,1.3666666666666667,0.7031219512195123,0.7602926829268294
0,0.2,1200.0,1.4666666666666666,0.6662204545454545,0.6974159090909092
0,0.225,1200.0,1.5333333333333332,0.6457869565217392,0.6585608695652174
0,0.25,1200.0,1.6333333333333333,0.6138122448979593,0.6106775510204083
0,0.275,1200.0,1.7,0.596707843137255,0.5797627450980394
0,0.30000000000000004,1200.0,1.8,0.5733425925925926,0.5377685185185186
0,0.325,1200.0,1.8666666666666667,0.5578196428571429,0.5136089285714286
0,0.35000000000000003,1200.0,1.9333333333333333,0.5445189655172414,0.48996379310344834
0,0.375,1200.0,2.0,0.53152,0.46848
0,0.4,1200.0,2.0666666666666664,0.5204161290322582,0.447325806451613
0,0.42500000000000004,1200.0,2.1666666666666665,0.48549538461538466,0.43758153846153847
0,0.45,1200.0,2.2333333333333334,0.5168761194029852,0.37864626865671647
0,0.47500000000000003,1200.0,2.3,0.5067594202898551,0.36280579710144933
0,0.5,1200.0,2.3666666666666667,0.49783521126760566,0.3472352112676057
0,0.0,1500.0,0.03333333333333333,60.0,0.0
0,0.025,1500.0,0.4666666666666667,2.005557142857143,2.280157142857143
0,0.05,1500.0,0.6666666666666666,1.46299,1.5370100000000002
0,0.07500000000000001,1500.0,0.8,1.1293958333333336,1.3706041666666668
0,0.1,1500.0,0.9,1.0281407407407408,1.1940814814814817
0,0.125,1500.0,1.0333333333333332,0.9037645161290325,1.03171935483871
0,0.15000000000000002,1500.0,1.1333333333333333,0.8427352941176471,0.9219705882352942
0,0.17500000000000002,1500.0,1.2333333333333334,0.7795540540540542,0.8420675675675675
0,0.2,1500.0,1.3,0.7498589743589744,0.7886025641025641
0,0.225,1500.0,1.4,0.705902380952381,0.7226690476190477
0,0.25,1500.0,1.4666666666666666,0.6860750000000001,0.6775613636363637
0,0.275,1500.0,1.5333333333333332,0.662508695652174,0.6418391304347827
0,0.30000000000000004,1500.0,1.6,0.64323125,0.6067687500000001
0,0.325,1500.0,1.6666666666666667,0.623432,0.5765680000000001
0,0.35000000000000003,1500.0,1.7333333333333334,0.6074576923076924,0.5463884615384615
0,0.375,1500.0,1.8,0.5921018518518518,0.5190092592592592
0,0.4,1500.0,1.8666666666666667,0.5765035714285714,0.494925
0,0.42500000000000004,1500.0,1.9,0.5737929824561404,0.4788385964912281
0,0.45,1500.0,2.0,0.5774566666666667,0.4225433333333334
0,0.47500000000000003,1500.0,2.0666666666666664,0.5638016129032258,0.4039403225806452
0,0.5,1500.0,2.1,0.5592587301587302,0.39312222222222226
0,0.0,1800.0,0.03333333333333333,60.0,0.0
0,0.025,1800.0,0.43333333333333335,2.1808230769230774,2.4345615384615384
0,0.05,1800.0,0.6,1.616088888888889,1.7172444444444446
0,0.07500000000000001,1800.0,0.7333333333333333,1.233568181818182,1.4937045454545455
0,0.1,1800.0,0.8666666666666667,1.1465884615384616,1.1611038461538463
0,0.125,1800.0,0.9333333333333333,1.0040357142857144,1.1388214285714287
0,0.15000000000000002,1800.0,1.0333333333333332,0.9157161290322582,1.019767741935484
0,0.17500000000000002,1800.0,1.1,0.8783303030303031,0.9398515151515153
0,0.2,1800.0,1.2,0.8103611111111112,0.8563055555555555
0,0.225,1800.0,1.2666666666666666,0.7800605263157895,0.7988868421052633
0,0.25,1800.0,1.3333333333333333,0.7527225000000001,0.7472775
0,0.275,1800.0,1.4,0.7259380952380953,0.7026333333333333
0,0.30000000000000004,1800.0,1.4666666666666666,0.7000704545454546,0.6635659090909092
0,0.325,1800.0,1.5333333333333332,0.6820717391304348,0.6222760869565218
0,0.35000000000000003,1800.0,1.5666666666666667,0.6726829787234043,0.6039127659574468
0,0.375,1800.0,1.6333333333333333,0.6505102040816327,0.5739795918367347
