,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-0.6499999999999999,-0.99,0,0,0,0,4,4
0,-0.64,-0.99,0,0,0,0,4,4
0,-0.63,-0.99,0,0,0,0,4,4
0,-0.62,-0.99,0,0,0,0,4,4
0,-0.61,-0.99,0,0,0,0,4,4
0,-0.6,-0.99,0,0,0,0,4,4
0,-0.59,-0.99,0,0,0,0,4,4
0,-0.5800000000000001,-0.99,0,0,0,0,4,4
0,-0.5700000000000001,-0.99,0,0,0,0,4,4
0,-0.56,-0.99,0,0,0,0,4,4
0,-0.55,-0.99,0,0,0,0,4,4
0,-0.54,-0.99,0,0,0,0,4,4
0,-0.53,-0.99,0,0,0,0,4,4
0,-0.52,-0.99,0,0,0,0,4,4
0,-0.51,-0.99,0,0,0,0,4,4
0,-0.5,-0.99,0,0,0,0,4,4
0,-0.49,-0.99,0,0,0,0,4,4
0,-0.48,-0.99,0,0,0,0,4,4
0,-0.47,-0.99,0,0,0,0,4,4
0,-0.45999999999999996,-0.99,0,0,0,0,2,2
0,-0.44999999999999996,-0.99,0,0,0,0,2,2
0,-0.43999999999999995,-0.99,0,0,0,0,2,2
0,-0.42999999999999994,-0.99,0,0,0,0,2,2
0,-0.42000000000000004,-0.99,0,0,0,0,2,2
0,-0.41000000000000003,-0.99,0,0,0,0,2,2
0,-0.4,-0.99,0,0,0,0,2,2
0,-0.39,-0.99,0,0,0,0,2,2
0,-0.38,-0.99,0,0,0,0,2,2
0,-0.37,-0.99,0,0,0,0,2,2
0,-0.36,-0.99,0,0,0,0,2,2
0,-0.35,-0.99,0,0,0,0,2,2
0,-0.33999999999999997,-0.99,0,0,0,0,2,2
0,-0.32999999999999996,-0.99,0,0,0,0,2,2
0,-0.31999999999999995,-0.99,0,0,0,0,2,2
0,-0.30999999999999994,-0.99,0,0,0,0,2,2
0,-0.29999999999999993,-0.99,0,0,0,0,2,2
0,-0.29000000000000004,-0.99,0,0,0,0,2,2
0,-0.28,-0.99,0,0,0,0,2,2
0,-0.27,-0.99,0,0,0,0,2,2
0,-0.26,-0.99,0,0,0,0,2,2
0,-0.25,-0.99,0,0,0,0,2,2
0,-0.24,-0.99,0,0,0,0,2,2
0,-0.22999999999999998,-0.99,0,0,0,0,2,2
0,-0.21999999999999997,-0.99,0,0,0,0,2,2
0,-0.20999999999999996,-0.99,0,0,0,0,2,2
0,-0.19999999999999996,-0.99,0,0,0,0,2,2
0,-0.18999999999999995,-0.99,0,0,0,0,2,2
