,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.6,-0.97,7.300000000000001,0.11854931506849317,0.018436986301369862
0,-0.59,-0.97,6.0,0.14201666666666668,0.024650000000000002
0,-0.5800000000000001,-0.97,3.9000000000000004,0.21781794871794877,0.03859230769230769
0,-0.5700000000000001,-0.97,2.0,0.38501500000000005,0.114985
0,-0.56,-0.97,2.0,0.38020000000000004,0.11980000000000002
0,-0.55,-0.97,2.0,0.37636000000000003,0.12364000000000001
0,-0.54,-0.97,1.6,0.47521875,0.14978125
0,-0.53,-0.97,2.0,0.36459500000000006,0.135405
0,-0.52,-0.97,2.0,0.368,0.132
0,-0.51,-0.97,2.1,0.3418904761904762,0.1343
0,-0.5,-0.97,2.1,0.33975714285714287,0.13643333333333335
0,-0.49,-0.97,2.1,0.33887142857142866,0.13731904761904762
0,-0.48,-0.97,2.1,0.33590476190476193,0.14028571428571432
0,-0.47,-0.97,2.1,0.3336476190476191,0.14254285714285714
0,-0.46,-0.97,2.1,0.33250476190476197,0.14368571428571428
0,-0.45,-0.97,2.1,0.3308904761904762,0.1453
0,0.3800000000000001,-0.97,1.7000000000000002,0.12388823529411766,0.4643470588235294
0,-0.6599999999999999,-0.96,7.4,0.13472972972972974,0.0004054054054054055
0,-0.6499999999999999,-0.96,3.5,0.2695371428571429,0.01617714285714286
0,-0.64,-0.96,3.8000000000000003,0.24312368421052635,0.02003421052631579
0,-0.63,-0.96,4.0,0.22732750000000002,0.022672499999999998
0,-0.62,-0.96,4.1000000000000005,0.2187146341463414,0.02518780487804878
0,-0.61,-0.96,4.2,0.21083333333333337,0.027261904761904758
0,-0.6,-0.96,7.6000000000000005,0.11460394736842108,0.016975
0,-0.59,-0.96,6.5,0.1318492307692308,0.021996923076923077
0,-0.5800000000000001,-0.96,5.2,0.1616596153846154,0.030648076923076924
0,-0.5700000000000001,-0.96,1.7000000000000002,0.47127058823529416,0.11696470588235296
0,-0.56,-0.96,2.0,0.38272000000000006,0.11728000000000001
0,-0.55,-0.96,2.0,0.37835,0.12165000000000001
0,-0.54,-0.96,2.0,0.379365,0.12063499999999999
0,-0.53,-0.96,2.0,0.370615,0.129385
0,-0.52,-0.96,2.0,0.362725,0.137275
0,-0.51,-0.96,2.0,0.36469000000000007,0.13531
0,-0.5,-0.96,2.1,0.3408285714285714,0.1353619047619048
0,-0.49,-0.96,2.1,0.3432714285714286,0.13291904761904763
0,-0.48,-0.96,2.1,0.3368238095238096,0.13936666666666667
0,-0.47,-0.96,2.1,0.33503333333333335,0.14115714285714287
0,-0.46,-0.96,2.1,0.33333333333333337,0.14285714285714288
0,-0.45,-0.96,2.2,0.30710454545454546,0.14744090909090912
0,-0.44,-0.96,2.1,0.3295428571428572,0.14664761904761903
0,0.3800000000000001,-0.96,1.7000000000000002,0.12459411764705884,0.4636411764705882
0,-0.6499999999999999,-0.95,3.4000000000000004,0.2798176470588235,0.0143
0,-0.64,-0.95,3.7,0.2511675675675676,0.019102702702702704
0,-0.63,-0.95,4.0,0.2284325,0.021567500000000003
0,-0.62,-0.95,4.1000000000000005,0.21861219512195118,0.02529024390243902
0,-0.61,-0.95,4.2,0.21184761904761906,0.02624761904761905
0,-0.6,-0.95,7.800000000000001,0.11217692307692308,0.016028205128205127
0,-0.59,-0.95,6.800000000000001,0.12659852941176472,0.02046029411764706
0,-0.5800000000000001,-0.95,5.7,0.1485561403508772,0.02688245614035088
0,-0.5700000000000001,-0.95,4.0,0.21146,0.03854
0,-0.56,-0.95,2.0,0.38574,0.11425999999999999
0,-0.55,-0.95,2.0,0.380635,0.11936500000000001
0,-0.54,-0.95,2.0,0.376635,0.12336500000000002
0,-0.53,-0.95,2.0,0.370695,0.129305
0,-0.52,-0.95,2.0,0.36841500000000005,0.131585
0,-0.51,-0.95,2.0,0.36571000000000004,0.13429000000000002
0,-0.5,-0.95,2.1,0.34221904761904764,0.1339714285714286
0,-0.49,-0.95,2.1,0.3462857142857143,0.1299047619047619
0,-0.48,-0.95,2.1,0.3377857142857143,0.1384047619047619
0,-0.47,-0.95,2.1,0.33592380952380957,0.14026666666666668
0,-0.46,-0.95,2.1,0.33417142857142856,0.14201904761904763
0,-0.45,-0.95,2.2,0.3109909090909091,0.14355454545454546
0,-0.44,-0.95,2.1,0.3308761904761905,0.14531428571428573
0,-0.43,-0.95,2.1,0.32542857142857146,0.1507619047619048
0,0.3800000000000001,-0.95,1.7000000000000002,0.12527058823529413,0.462964705882353
