,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-2.88,0.14,0,0,0,2,0
0,-2.88,0.28,0,0,0,2,0
0,-2.88,0.42000000000000004,0,0,0,2,0
0,-2.88,0.56,0,0,0,2,0
0,-2.88,0.7000000000000001,0,0,0,2,0
0,-2.88,0.8400000000000001,0,0,0,2,0
0,-2.88,0.9800000000000001,0,0,0,2,0
0,-2.88,1.12,0,0,0,4,0
0,-2.88,1.2600000000000002,0,0,0,4,0
0,-2.88,1.4000000000000001,0,0,0,3,0
0,-2.88,1.54,1,1,0,3,3
0,-2.88,1.6800000000000002,1,0,0,1,0
0,-2.88,1.8200000000000003,1,0,0,1,0
0,-2.88,1.9600000000000002,1,0,0,1,0
0,-2.88,2.1,1,0,0,1,0
0,-2.88,2.24,1,0,0,1,0
0,-2.88,2.3800000000000003,1,0,0,1,0
0,-2.88,2.5200000000000005,1,0,0,1,0
0,-2.88,2.66,1,0,0,1,0
0,-2.88,2.8000000000000003,1,0,0,1,0
0,-2.88,2.9400000000000004,1,0,0,1,0
0,-2.88,3.08,1,0,0,1,0
0,-2.88,3.22,1,0,0,1,0
0,-2.88,3.3600000000000003,1,0,0,1,0
0,-2.88,3.5000000000000004,1,0,0,1,0
0,-2.88,3.6400000000000006,1,0,0,1,0
0,-2.88,3.7800000000000002,1,0,0,1,0
0,-2.88,3.9200000000000004,1,0,0,1,0
0,-2.88,4.0600000000000005,1,0,0,1,0
0,-2.88,4.2,1,0,0,1,0
0,-2.88,4.340000000000001,1,0,0,1,0
0,-2.88,4.48,1,0,0,1,0
0,-2.88,4.62,1,0,0,1,0
0,-2.88,4.760000000000001,1,0,0,1,0
0,-2.88,4.9,1,0,0,1,0
0,-2.88,5.040000000000001,1,0,0,1,0
0,-2.88,5.180000000000001,1,0,0,1,0
0,-2.88,5.32,1,0,0,1,0
0,-2.88,5.460000000000001,1,0,0,1,0
0,-2.88,5.6000000000000005,1,0,0,1,0
0,-2.88,5.74,1,0,0,1,0
0,-2.88,5.880000000000001,1,0,0,1,0
