,I_e,I_i,stability,turing,p_random,p_down
0,-0.19999999999999996,1.0,,0,1,1
0,0.0,-1.0,0,0,2,2
0,0.0,-0.8,0,0,4,4
0,0.0,-0.6,1,3,4,4
0,0.0,-0.3999999999999999,1,0,4,4
0,0.0,-0.19999999999999996,1,0,2,2
0,0.0,0.0,1,0,1,1
0,0.0,0.20000000000000018,1,0,1,1
0,0.0,0.40000000000000013,1,0,1,1
0,0.0,0.6000000000000001,1,0,1,1
0,0.0,0.8,1,0,1,1
0,0.0,1.0,1,0,1,1
0,0.20000000000000018,-1.0,0,0,2,2
0,0.20000000000000018,-0.8,0,0,2,2
0,0.20000000000000018,-0.6,0,0,4,4
0,0.20000000000000018,-0.3999999999999999,1,3,4,4
0,0.20000000000000018,-0.19999999999999996,1,0,2,2
0,0.20000000000000018,0.0,1,0,2,2
0,0.20000000000000018,0.20000000000000018,1,0,1,1
0,0.20000000000000018,0.40000000000000013,1,0,1,1
0,0.20000000000000018,0.6000000000000001,1,0,1,1
0,0.20000000000000018,0.8,1,0,1,1
0,0.20000000000000018,1.0,1,0,1,1
0,0.40000000000000013,-1.0,0,0,2,2
0,0.40000000000000013,-0.8,0,0,2,2
0,0.40000000000000013,-0.6,0,0,4,2
0,0.40000000000000013,-0.3999999999999999,0,0,4,4
0,0.40000000000000013,-0.19999999999999996,1,1,2,2
0,0.40000000000000013,0.0,1,0,1,2
0,0.40000000000000013,0.20000000000000018,1,0,1,2
0,0.40000000000000013,0.40000000000000013,1,0,1,1
0,0.40000000000000013,0.6000000000000001,1,0,1,1
0,0.40000000000000013,0.8,1,0,1,1
0,0.40000000000000013,1.0,1,0,1,1
0,0.6000000000000001,-1.0,0,0,4,2
0,0.6000000000000001,-0.8,0,0,4,2
0,0.6000000000000001,-0.6,0,0,4,2
0,0.6000000000000001,-0.3999999999999999,0,0,4,2
0,0.6000000000000001,-0.19999999999999996,1,3,4,4
0,0.6000000000000001,0.0,1,0,4,2
0,0.6000000000000001,0.20000000000000018,1,0,4,2
0,0.6000000000000001,0.40000000000000013,1,0,4,1
0,0.6000000000000001,0.6000000000000001,,0,4,4
0,0.6000000000000001,0.8,,0,4,4
0,0.6000000000000001,1.0,,0,4,4
0,0.8,-1.0,1,0,2,1
0,0.8,-0.8,1,0,2,2
0,0.8,-0.6,1,0,2,2
0,0.8,-0.3999999999999999,1,0,2,2
0,0.8,-0.19999999999999996,1,0,2,2
0,0.8,0.0,2,3,2,2
0,0.8,0.20000000000000018,2,0,2,2
0,0.8,0.40000000000000013,2,0,2,2
0,0.8,0.6000000000000001,1,0,2,1
0,0.8,0.8,1,0,2,1
0,0.8,1.0,1,0,2,1
0,1.0,-1.0,1,0,1,1
0,1.0,-0.8,1,0,1,1
0,1.0,-0.6,1,0,1,1
0,1.0,-0.3999999999999999,1,0,1,1
0,1.0,-0.19999999999999996,1,0,1,1
0,1.0,0.0,2,3,1,1
0,1.0,0.20000000000000018,1,0,1,1
0,1.0,0.40000000000000013,2,0,1,2
0,1.0,0.6000000000000001,1,0,1,1
0,1.0,0.8,1,0,1,1
0,1.0,1.0,1,0,1,1
